20061107,235.8908,239.9705,233.4251,237.5845,10307375
20061113,248.4637,248.9917,236.1847,236.5633,12261520
20061120,251.5571,255.5422,245.4052,248.2694,9929700
20061127,239.5023,249.9531,237.6243,249.7489,13107441
20061204,241.1511,245.2806,238.7800,240.5982,8870000
20061211,239.2532,243.5372,237.6193,241.5546,8851440
20061218,226.9394,240.4687,225.3254,240.3541,12009980
20061226,229.3802,233.4151,226.4462,227.4076,6012975
20070103,242.6853,242.8398,229.6940,232.1299,15033500
20070108,251.5571,251.5571,239.7015,242.9344,11156060
20070116,243.9606,255.5422,242.4612,252.8273,12636250
20070122,246.9942,251.3080,237.7538,245.3304,11239560
20070129,239.8510,252.0602,238.0129,248.0702,17307520
20070205,230.0826,238.1075,229.8883,237.8584,10271860
20070212,234.0926,234.1972,226.6604,229.4799,10332620
20070220,234.4313,241.2159,231.4873,233.3603,9703475
20070226,218.5209,236.7377,218.5209,235.5322,14688259
20070305,225.6343,231.8809,217.6841,217.6940,12351400
20070312,219.6019,226.7750,218.6803,225.4400,11026240
20070319,230.0527,230.8298,219.4923,220.7974,9719980
20070326,228.2246,232.1299,226.6505,229.4151,8195200
20070402,234.8746,236.2395,225.2158,228.0253,8253175
20070409,232.2744,235.6169,230.2569,235.6069,6165360
20070416,240.3392,245.3304,233.2009,233.3553,14907441
20070423,238.6106,241.5945,236.8871,239.1536,8185140
20070430,234.6804,239.7763,231.2183,238.6804,7189280
20070507,232.4985,235.5272,229.6393,235.1885,6602720
20070514,234.2819,236.7227,227.8510,231.8709,9195220
20070521,240.8572,241.5695,232.4886,233.8883,9869000
20070529,249.2657,253.4400,240.5982,241.5945,13142500
20070604,256.7825,262.2670,247.8659,248.0253,17032920
20070611,252.0004,258.1573,248.4139,256.0503,11601820
20070618,261.5098,261.5148,251.1785,252.1449,10094720
20070625,260.3741,266.4961,258.7601,263.5023,11156200
20070702,268.6929,271.1835,261.1212,261.7639,6548950
20070709,275.0490,275.3031,268.9967,270.4861,7858760
20070716,259.0889,278.2471,253.7987,274.1225,18431740
20070723,254.9892,259.0291,248.5085,258.5359,11991200
20070730,250.5608,259.2483,250.5608,255.5023,7625620
